경로	키	갱신 시각	카테고리	원문	번역문	수정문	(일) 코멘트	(한) 코멘트
JP_Passives_Abnormality_Refraction4.json:106	828001-desc	2025-06-12	오역 의심	이번 전투동안 [BandageOfTheBoundKing], [BigWelcome]를 얻음.\n매 턴 시작 시 묶인 왕이 이 캐릭터에게 가호를 부여함.\n묶인 왕의 가호는 턴마다 [Enhancement]를 부여, 정신력 회복, 체력 회복 순으로 달라짐. 생존한 묶인 왕의 하수인(질투 죄종)의 수가 6명 미만이면, 부여되는 가호가 강화됨.	今回の戦闘の間、[BandageOfTheBoundKing]、[BigWelcome]を得る。\n毎ターン開始時に縛られた王がこのキャラクターに加護を与える。\n縛られた王の加護はターンごとに[Enhancement]を付与、精神力回復、体力回復の順に変わる。生存した縛られた王の下手人(嫉妬大罪)の数が6名未満であれば、付与される加護が強化される。	今回の戦闘の間、[BandageOfTheBoundKing]、[BigWelcome]を得る。\n毎ターン開始時に縛られた王がこのキャラクターに加護を与える。\n縛られた王の加護はターンごとに[Enhancement]を付与、精神力回復、体力回復の順に変わる。生存した縛られた王の下手人(嫉妬大罪)の数が6名未満であれば、付与される加護が強化される。	誤訳の疑い: "下手人" 詳細: "日本語の「下手人」という言葉は、韓国語の「하수인」と異なり「殺人/事件の犯行者」といった意味でしか使われません。よって、「手先」や「手下」などといった訳語が適切であると思われます。"	오역 의심: "下手人" 상세: "일본어 '下手人'은 한국어 '하수인'과 달리 '살인/사건의 범인'이라는 의미로만 사용됩니다. 따라서, '手先' / '手下' 등으로 번역하는 것이 적절할 것으로 보입니다."
JP_Passives_Assist-a1c8p2.json:11	40000202-desc	2025-06-12	오기	적이 자신을 제외한 아군을 공격 종료 후 공격당한 아군의 체력이 25% 미만이면, 공격자를 '가척아원'으로 일방 공격함 (전투 당 1회)	敵が自分を除く味方を攻撃終了後、攻撃された味方の体力が25%未満なら、攻撃者を「加斥我援」へ一方攻撃する (戦闘につき1回)	敵が自分を除く味方を攻撃終了後、攻撃された味方の体力が25%未満なら、攻撃者を「加斥我援」によって一方攻撃する (戦闘につき1回)	誤記: "敵が自分を除く味方を攻撃終了後、攻撃された味方の体力が25%未満なら、攻撃者を「加斥我援」「へ」一方攻撃する (戦闘につき1回)" 訂正後: "攻撃者を「加斥我援」「によって」一方攻撃する (戦闘につき1回)"	오기: "敵が自分を除く味方を攻撃終了後、攻撃された味方の体力が25%未満なら、攻撃者を「加斥我援」「へ」一方攻撃する (戦闘につき1回)" 정확: "攻撃者を「加斥我援」「によって」一方攻撃する (戦闘につき1回)"
JP_Passives_Enemy-a1c6p1.json:18	9012001-desc	2025-06-12	오기	스킬 사용시 대상의 체력이 50%미만일 때, 스킬 위력 +1	スキル使用時、対象の体力が50%未満のならスキル威力 +1	スキル使用時、対象の体力が50%未満ならスキル威力 +1	誤記: "スキル使用時、対象の体力が50%未満「の」ならスキル威力 +1" 訂正後: "スキル使用時、対象の体力が50%未満「」ならスキル威力 +1"	오기: "スキル使用時、対象の体力が50%未満「の」ならスキル威力 +1" 정확: "スキル使用時、対象の体力が50%未満「」ならスキル威力 +1"
JP_Passives_Enemy-a1c6p1.json:24	9012201-desc	2025-06-12	오기	스킬 사용 시 대상의 체력이 50%미만일 때, 피해량 +30%	スキル使用時、対象の体力が50%未満のならダメージ量 +30%	スキル使用時、対象の体力が50%未満ならダメージ量 +30%	誤記: "スキル使用時、対象の体力が50%未満「の」ならダメージ量 +30%" 訂正後: "スキル使用時、対象の体力が50%未満「」ならダメージ量 +30%"	오기: "スキル使用時、対象の体力が50%未満「の」ならダメージ量 +30%" 정확: "スキル使用時、対象の体力が50%未満「」ならダメージ量 +30%"
JP_Passives_Enemy-a1c7p1.json:71	9015603-desc	2025-06-12	오기	스킬 사용 시, 대상의 [Burst]이 10 이상이면, 스킬에서 [Burst]을 부여하는 대신 피해량이 30% 증가	スキル使用時、対象の[Burst]が10以上なら、スキルにて[Burst]を付与する変わる代わりにダメージ量が30%増加	スキル使用時、対象の[Burst]が10以上なら、スキルにて[Burst]を付与する代わりにダメージ量が30%増加	誤記: "スキル使用時、対象の[Burst]が10以上なら、スキルにて[Burst]を付与する「変わる」代わりにダメージ量が30%増加" 訂正後: "スキルにて[Burst]を付与する「」代わりにダメージ量が30%増加"	오기: "スキル使用時、対象の[Burst]が10以上なら、スキルにて[Burst]を付与する「変わる」代わりにダメージ量が30%増加" 정확: "スキルにて[Burst]を付与する「」代わりにダメージ量が30%増加"
JP_Passives_Enemy-a1c8p2.json:46	9020801-desc	2025-06-12	오기	[OminousTalisman]을 적에게 부여할 때마다 자신의 정신력 10을 소모함\n\n[OminousTalisman]을 보유한 대상에게 가하는 피해량이 (0 - 자신의 정신력)%만큼 증가 (최대 30%, 최소 0%)	[OminousTalisman]を的に付与する度に自分の精神力を10消耗する\n\n[OminousTalisman]を保有する対象への与ダメージ量が(0 - 自分の精神力)%だけ増加(最大30%, 最小0%)	[OminousTalisman]を敵に付与する度に自分の精神力を10消耗する\n\n[OminousTalisman]を保有する対象への与ダメージ量が(0 - 自分の精神力)%だけ増加(最大30%, 最小0%)	誤記: "[OminousTalisman]を「的」に付与する度に自分の精神力を10消耗する" 訂正後: "[OminousTalisman]を「敵」に付与する度に自分の精神力を10消耗する"	오기: "[OminousTalisman]を「的」に付与する度に自分の精神力を10消耗する" 정확: "[OminousTalisman]を「敵」に付与する度に自分の精神力を10消耗する"
JP_Passives_Enemy-a1c8p2.json:66	9020902-desc	2025-06-12	오기	턴 시작 시 자신의 체력이 50% 이하면, 무작위 사특한 주살승을 1명 희생하여 (자신의 최대 체력 10% + 희생한 대상의 최대 체력 50%)만큼 체력을 회복, 25만큼 정신력을 회복, 흐트러짐 상태에서 해제됨 (턴당 1회)	ターン開始時、自分の体力が50%以下ならランダムな慝邪な呪殺僧を1名犠牲にし、(自分の最大体力10% + 擬製した対象の体力最大値50%)だけ体力を回復、25だけ精神力を回復、混乱状態が解除される(1ターンにつき1回)	ターン開始時、自分の体力が50%以下ならランダムな慝邪な呪殺僧を1名犠牲にし、(自分の最大体力10% + 犠牲にした対象の体力最大値50%)だけ体力を回復、25だけ精神力を回復、混乱状態が解除される(1ターンにつき1回)	誤記: "(自分の最大体力10% + 「擬製した」対象の体力最大値50%)だけ体力を回復し、" 訂正後: "(自分の最大体力10% + 「犠牲にした」対象の体力最大値50%)だけ体力を回復し、"	오기: "(自分の最大体力10% + 「擬製した」対象の体力最大値50%)だけ体力を回復し、" 정확: "(自分の最大体力10% + 「犠牲にした」対象の体力最大値50%)だけ体力を回復し、"
JP_Passives_Enemy-a1c8p3.json:11	9021702-desc	2025-06-12	표현 개선	흐트러진 적에게 피해량 +10%\n전 턴에 적을 흐트러뜨렸다면, 다음 턴에 합 승리 후 스킬 적중시 [Vibration] 2 부여 (턴 당 2회)	混乱した敵への与ダメージ量 +10%\n前のターンに敵を混乱させたなら、次のターンにマッチ勝利後にスキル的中時、[Vibration]2を付与(1ターンにつき2回)	混乱した敵への与ダメージ量 +10%\n前のターンに敵を混乱させたなら、次のターンにてマッチ勝利後にスキル的中時、[Vibration]2を付与(1ターンにつき2回)	表現改善: "「てにをは」が自然になるよう修正"	표현 개선: "일본어 문법의 조사 사용('てにをは')이 자연스럽도록 수정함."
JP_RailwayDungeonUI_5.json:45	railway_dungeon_5_required_condition_to_enter_format-content	2025-06-12	오기	※ 안내 사항\n\n{0}에 입장하기 위해서는 수감자 별로 최소 2개의 인격이 필요합니다.	※ご案内\n\n{0}に入場するには、周囲人ごとに最低2つの人格が必要です。	※ご案内\n\n{0}に入場するには、囚人ごとに最低2つの人格が必要です。	誤記: "{0}に入場するには、「周囲人」ごとに最低2つの人格が必要です。" 訂正後: "{0}に入場するには、「囚人」ごとに最低2つの人格が必要です。"	오기: "{0}に入場するには、「周囲人」ごとに最低2つの人格が必要です。" 정확: "{0}に入場するには、「囚人」ごとに最低2つの人格が必要です。"
JP_ScenarioModelCodes-AutoCreated.json:1305	린튼2-name	2025-06-12	오기	린튼	エリントン	リントン	誤記: "「エ」リントン" 訂正後: "「」リントン"	오기: "「エ」リントン" 정확: "「」リントン"
JP_Skills_Abnormality-a1c5p3.json:1266	810403-levelList[0].desc	2025-06-12	오기	[TurnStartBattle] 퀴케그의 원호 방어 보호막 수치가 0보다 크면 원호 공격 효과가 발동함	[TurnStartBattle] クィークェグの援護防御バリア 数値が0寄り大木れば援護攻撃効果が発動する	[TurnStartBattle] クィークェグの援護防御バリア 数値が0より大きければ援護攻撃効果が発動する	誤記: "[TurnStartBattle] クィークェグの援護防御バリア 数値が0「寄り大木れば」援護攻撃効果が発動する" 訂正後: "クィークェグの援護防御バリア 数値が0「より大きければ」援護攻撃効果が発動する"	오기: "[TurnStartBattle] クィークェグの援護防御バリア 数値が0「寄り大木れば」援護攻撃効果が発動する" 정확: "クィークェグの援護防御バリア 数値が0「より大きければ」援護攻撃効果が発動する"
JP_Skills_Abnormality-a1c7p1.json:123	837104-levelList[0].coinlist[3].coindescs[1].desc	2025-06-12	오기	[OnSucceedAttack] 대상의 [Burst]당 피해량 +5% (최대 50%)	[OnSucceedAttack] 対象の[Breath]1につきダメージ量 +5%(最大50%)	[OnSucceedAttack] 対象の[Burst]1につきダメージ量 +5%(最大50%)	誤記: "対象の「[Breath]」1につきダメージ量 +5%(最大50%)" 訂正後: "対象の「[Burst]」1につきダメージ量 +5%(最大50%)"	오기: "対象の「[Breath]」1につきダメージ量 +5%(最大50%)" 정확: "対象の「[Burst]」1につきダメージ量 +5%(最大50%)"
JP_Skills_Abnormality-a1c7p2.json:79	838104-levelList[0].desc	2025-06-26	오기	[CantIdentify]\n메인 타겟은 적, 서브 타겟은 아군을 우선으로 지정하며, 대상이 아군이면 합 위력 +10, 피해량이 항상 0으로 고정\n[WhenUse] 자신의 [BloodDinner_Accumulation] 20당 합 위력 +1 (최대 10)\n[WhenUse] [BloodDinner]이 25 미만이면, [Laceration] 25를 얻은 다음 즉시 1회 발동시키고 [Laceration] 횟수 1 감소 (체력이 10% 미만이면 [Laceration], [Laceration] 횟수를 얻는 효과만 발동)\n[EndSkill] [BloodDinner] 25 소모\n[EndBattle] [FestivalFever]를 전부 소모	[CantIdentify]\nメインターゲットは敵、サブターゲットは味方を優先して指定し、対象が味方ならマッチい威力 +10, ダメージ量が常に0に固定\n[WhenUse] 自分の[BloodDinner_Accumulation]20につきマッチ威力 +1(最大10)\n[WhenUse] [BloodDinner]が25未満なら、[Laceration]25を得てから即1回発動させ、[Laceration]回数が1減少(体力が10%未満なら[Laceration], [Laceration]回数を得る効果のみを発動)\n[EndSkill] [BloodDinner]を25消耗\n[EndBattle] [FestivalFever]を全て消耗	[CantIdentify]\nメインターゲットは敵、サブターゲットは味方を優先して指定し、対象が味方ならマッチ威力 +10, ダメージ量が常に0に固定\n[WhenUse] 自分の[BloodDinner_Accumulation]20につきマッチ威力 +1(最大10)\n[WhenUse] [BloodDinner]が25未満なら、[Laceration]25を得てから即1回発動させ、[Laceration]回数が1減少(体力が10%未満なら[Laceration], [Laceration]回数を得る効果のみを発動)\n[EndSkill] [BloodDinner]を25消耗\n[EndBattle] [FestivalFever]を全て消耗	誤記: "メインターゲットは敵、サブターゲットは味方を優先して指定し、対象が味方なら「マッチい威力」 +10, ダメージ量が常に0に固定" 訂正後: "対象が味方なら「マッチい威力」 +10"	오기: "メインターゲットは敵、サブターゲットは味方を優先して指定し、対象が味方なら「マッチい威力」 +10, ダメージ量が常に0に固定" 정확: ""
JP_Skills_Abnormality-a1c7p2.json:108	838105-levelList[0].desc	2025-06-12	오기	[WhenUse] 자신의 [BloodDinner_Accumulation] 20당 합 위력 +1 (최대 10)\n[WhenUse] [BloodDinner]이 50 미만이면, [Laceration] 25, [Laceration] 횟수 2를 얻은 다음 즉시 2회 발동시키고 [Laceration] 횟수 2 감소 (체력이 10% 미만이면 [Laceration], [Laceration] 횟수를 얻는 효과만 발동)\n[WhenUse] [BloodDinner]을 절반만큼 소모\n[EndBattle] [IncompleteParade]를 전부 소모\n[EndBattle] [FestivalFever] 10 얻음	[WhenUse] 自分の[BloodDinner_Accumulation]20につきマッチ威力 +1(最大10)\n[WhenUse] [BloodDinner]が50未満なら、[Laceration]25, [Laceration]回数2を得てから即2回発動させ、[Laceration]回数が2減少(体力が10%未満なら[Laceration], [Laceration]回数を得る効果のみを発動)\n[WhenUse] [BloodDinner]を半分だけ消耗\n[EndBattle] [IncompleteParade]を全て消耗\n[EndBattle] [FestivalFever]10得る	[WhenUse] 自分の[BloodDinner_Accumulation]20につきマッチ威力 +1(最大10)\n[WhenUse] [BloodDinner]が50未満なら、[Laceration]25, [Laceration]回数2を得てから即2回発動させ、[Laceration]回数が2減少(体力が10%未満なら[Laceration], [Laceration]回数を得る効果のみを発動)\n[WhenUse] [BloodDinner]を半分だけ消耗\n[EndBattle] [IncompleteParade]を全て消耗\n[EndBattle] [FestivalFever]10を得る	誤記: "[EndBattle] [FestivalFever]10「」得る" 訂正後: "[EndBattle] [FestivalFever]10「を」得る"	오기: "[EndBattle] [FestivalFever]10「」得る" 정확: "[EndBattle] [FestivalFever]10「を」得る"
JP_Skills_Abnormality-a1c7p3.json:159	837806-levelList[0].coinlist[2].coindescs[1].desc	2025-06-12	오기	[OnSucceedAttack] 이 스킬에서 [BloodDinner]을 30 소모했고, [BloodyHand_3rd]이 30이면 이 코인 1회 재사용	[OnSucceedAttack] このスキルで[BloodDinner]を30消耗したかつ、BloodyHand_3rd]が30ならこのコインを1回再使用	[OnSucceedAttack] このスキルで[BloodDinner]を30消耗したかつ、[BloodyHand_3rd]が30ならこのコインを1回再使用	誤記: "このスキルで[BloodDinner]を30消耗したかつ、「」BloodyHand_3rd]が30ならこのコインを1回再使用" 訂正後: "「[」BloodyHand_3rd]が30ならこのコインを1回再使用"	오기: "このスキルで[BloodDinner]を30消耗したかつ、「」BloodyHand_3rd]が30ならこのコインを1回再使用" 정확: "「[」BloodyHand_3rd]が30ならこのコインを1回再使用"
JP_Skills_Abnormality-a1c7p3.json:894	838011-levelList[0].desc	2025-06-12	오기	[WhenUse] [BloodDinner]을 (45 - 현재 정신력)만큼 소모하여 정신력을 45까지 회복\n- [BloodDinner]이 부족할 경우, 자신의 체력을 (45 - 현재 정신력)만큼 소모하여 정신력을 45까지 회복 (이 피해로 체력이 1미만이 되지 않음)\n- 남은 [BloodDinner]만큼 보호막 체력을 얻음 (최대 100)\n[WinDuel] 대상에게 [Laceration] 10 부여\n[DefeatDuel] [BloodDinner] 100 소모\n[EndSkill] 피해량만큼 [BloodDinner] 증가	[WhenUse] [BloodDinner]を(45 - 現在の精神力)だけ消耗して精神力を精神力を45まで回復\n- [BloodDinner]が足りない場合、自分の体力を(45 - 現在の精神力)だけ消耗して精神力を45まで回復(このダメージで体力が1未満にならない)\n- 残った[BloodDinner]だけバリア体力を得る(最大100)\n[WinDuel] 対象へ[Laceration]10を付与\n[DefeatDuel] [BloodDinner]を100消耗\n[EndSkill] ダメージ量だけ[BloodDinner]が増加	[WhenUse] [BloodDinner]を(45 - 現在の精神力)だけ消耗して精神力を45まで回復\n- [BloodDinner]が足りない場合、自分の体力を(45 - 現在の精神力)だけ消耗して精神力を45まで回復(このダメージで体力が1未満にならない)\n- 残った[BloodDinner]だけバリア体力を得る(最大100)\n[WinDuel] 対象へ[Laceration]10を付与\n[DefeatDuel] [BloodDinner]を100消耗\n[EndSkill] ダメージ量だけ[BloodDinner]が増加	誤記: "[WhenUse] [BloodDinner]を(45 - 現在の精神力)だけ消耗して「精神力を」精神力を45まで回復" 訂正後: "[WhenUse] [BloodDinner]を(45 - 現在の精神力)だけ消耗して「」精神力を45まで回復"	오기: "[WhenUse] [BloodDinner]を(45 - 現在の精神力)だけ消耗して「精神力を」精神力を45まで回復" 정확: "[WhenUse] [BloodDinner]を(45 - 現在の精神力)だけ消耗して「」精神力を45まで回復"
JP_Skills_Abnormality-a1c7p3.json:1842	837504-levelList[0].coinlist[3].coindescs[1].desc	2025-06-12	오기	[OnSucceedAttack] 대상의 [Burst]당 피해량 +5% (최대 50%)	[OnSucceedAttack] 対象の[Breath]1につきダメージ量 +5%(最大50%)	[OnSucceedAttack] 対象の[Burst]1につきダメージ量 +5%(最大50%)	誤記: "対象の「[Breath]」1につきダメージ量 +5%(最大50%)" 訂正後: "対象の「[Burst]」1につきダメージ量 +5%(最大50%)"	오기: "対象の「[Breath]」1につきダメージ量 +5%(最大50%)" 정확: "対象の「[Burst]」1につきダメージ量 +5%(最大50%)"
JP_Skills_Abnormality-a1c8p2.json:1654	116003-levelList[0].desc	2025-06-12	오기	[WhenUse] 대상의 [Burst] 6당, 최종 위력 +1 (최대 2) \n[WhenUse] [Charge] 횟수를 5 소모하여, 코인 위력 + 1 (최대 3)\n[WhenUse] [Charge] 횟수를 5 이상 소모했다면, [Burst] 부여량 +2\n[WhenUse] [Charge] 횟수를 10 이상 소모했다면, 대상의 [Burst] 횟수 3 증가\n[DefeatDuel] 피해량이 80%만큼 감소하고 이 스킬의 피해로 대상이 흐트러지지 않음	[WhenUse] 対象のを[Burst]6につき、最終威力 +1 (最大2) \n[WhenUse] [Charge]回数を5消耗し、コイン威力 + 1 (最大3)\n[WhenUse] [Charge]回数を5以上消耗したなら、[Burst]付与量 +2\n[WhenUse] [Charge]回数を10消耗したなら、対象の[Burst]回数が3増加\n[DefeatDuel] ダメージ量が80%だけ減少し、このスキルのダメージによって対象が混乱しない	[WhenUse] 対象の[Burst]6につき、最終威力 +1 (最大2) \n[WhenUse] [Charge]回数を5消耗し、コイン威力 + 1 (最大3)\n[WhenUse] [Charge]回数を5以上消耗したなら、[Burst]付与量 +2\n[WhenUse] [Charge]回数を10消耗したなら、対象の[Burst]回数が3増加\n[DefeatDuel] ダメージ量が80%だけ減少し、このスキルのダメージによって対象が混乱しない	誤記: "[WhenUse] 対象の「を」[Burst]6につき、最終威力 +1 (最大2) " 訂正後: "[WhenUse] 対象の「」[Burst]6につき、最終威力 +1 (最大2) "	오기: "[WhenUse] 対象の「を」[Burst]6につき、最終威力 +1 (最大2) " 정확: "[WhenUse] 対象の「」[Burst]6につき、最終威力 +1 (最大2) "
JP_Skills_Abnormality-a1c8p3.json:145	114505-levelList[0].desc	2025-06-12	오기	[Prey]을 보유한 대상을 우선으로 지정\n속도에 상관없이 이 스킬과 합을 할 수 있음\n대상의 [Combustion]과 [Vibration]의 합 6당 코인 위력 +1 (최대 3)\n[DefeatDuel] 자신의 정신력 10 감소	[Prey]を保有した対処を優先して指定\n速度と関係なく、このスキルとマッチができる\n対象の[Combustion]と[Vibration]の合計6につき、コインのダメージ量 +1 (最大3)\n[DefeatDuel] 自分の精神力が10減少	[Prey]を保有した対象を優先して指定\n速度と関係なく、このスキルとマッチができる\n対象の[Combustion]と[Vibration]の合計6につき、コインのダメージ量 +1 (最大3)\n[DefeatDuel] 自分の精神力が10減少	誤記: "[Prey]を保有した「対処」を優先して指定" 訂正後: "[Prey]を保有した「対象」を優先して指定"	오기: "[Prey]を保有した「対処」を優先して指定" 정확: "[Prey]を保有した「対象」を優先して指定"
JP_Skills_Abnormality-a1c8p3.json:678	113604-levelList[0].coinlist[0].coindescs[1].desc	2025-06-12	표현 개선	[OnSucceedAttack] (대상의 적중시 현재 체력)만큼 마지막 코인에 오만 추가 피해	[OnSucceedAttack] (対象の的中時現体力)だけ、最終コインに傲慢ダメージを追加	[OnSucceedAttack] (対象への的中時現体力)だけ、最終コインに傲慢ダメージを追加	表現改善: "「てにをは」が自然になるよう修正"	표현 개선: "일본어 문법의 조사 사용('てにをは')이 자연스럽도록 수정함."
JP_Skills_Abnormality-tkt.json:316	827806-levelList[0].desc	2025-06-12	오기	[WhenUse] 모든 부위가 보유한 [OwnTime]의 합 100 당, 기본 위력 +1	[WhenUse] 全部位が保有した保有した[OwnTime]の合計が100につき、基本威力 +1	[WhenUse] 全部位が保有した[OwnTime]の合計が100につき、基本威力 +1	誤記: "[WhenUse] 全部位が保有した「保有した」[OwnTime]の合計が100につき、基本威力 +1" 訂正後: "全部位が保有した「」[OwnTime]の合計が100につき、基本威力 +1"	오기: "[WhenUse] 全部位が保有した「保有した」[OwnTime]の合計が100につき、基本威力 +1" 정확: "全部位が保有した「」[OwnTime]の合計が100につき、基本威力 +1"
JP_Skills_Abnormality.json:4144	804901-levelList[0].desc	2025-06-12	오기	[WhenUse] 다음 턴에 텅 빈 징표 부여	[WhenUse] 次のターンにがらんどうの証 を付与	[WhenUse] 次のターンにがらんどうの印 を付与	誤記: "[WhenUse] 次のターンにがらんどうの「証」 を付与" 訂正後: "[WhenUse] 次のターンにがらんどうの「印」 を付与"	오기: "[WhenUse] 次のターンにがらんどうの「証」 を付与" 정확: "[WhenUse] 次のターンにがらんどうの「印」 を付与"
JP_Skills_Abnormality.json:4461	805003-levelList[0].coinlist[2].coindescs[0].desc	2025-06-12	오기	[OnSucceedAttack] 씨앗 1 부여. 대상에게 씨앗이 있으면, 씨앗 1 추가 부여	[OnSucceedAttack] 火傷 1を付与。対象に火傷がある場合、追加で1付与	[OnSucceedAttack] 種 1を付与。対象に種がある場合、種 を追加で1付与	誤記: "「火傷 1を付与。対象に火傷がある場合、追加で1付与」" 訂正後: "「種 1を付与。対象に種がある場合、種 を追加で1付与」"	오기: "「火傷 1を付与。対象に火傷がある場合、追加で1付与」" 정확: "「種 1を付与。対象に種がある場合、種 を追加で1付与」"
JP_Skills_Ego.json:2465	2120111-levelList[0].coinlist[0].coindescs[0].desc	2025-06-12	오기	[OnSucceedAttack] 화상, 출혈, 진동, 파열, 침잠 중 무작위 1개 효과 3 부여	[OnSucceedAttack] 火傷 、出血 、振動 、破裂 、沈潜 中からランダムに1つを3付与	[OnSucceedAttack] 火傷 、出血 、振動 、破裂 、沈潜 の中からランダムに1つを3付与	誤記: "[OnSucceedAttack] 火傷 、出血 、振動 、破裂 、沈潜 「」中からランダムに1つを3付与" 訂正後: "火傷 、出血 、振動 、破裂 、沈潜 「の」中からランダムに1つを3付与"	오기: "[OnSucceedAttack] 火傷 、出血 、振動 、破裂 、沈潜 「」中からランダムに1つを3付与" 정확: "火傷 、出血 、振動 、破裂 、沈潜 「の」中からランダムに1つを3付与"
JP_Skills_Ego.json:2480	2120111-levelList[1].coinlist[0].coindescs[0].desc	2025-06-12	오기	[OnSucceedAttack] 화상, 출혈, 진동, 파열, 침잠 중 무작위 1개 효과 6 부여	[OnSucceedAttack] 火傷 、出血 、振動 、破裂 、沈潜 中からランダムに1つを6付与	[OnSucceedAttack] 火傷 、出血 、振動 、破裂 、沈潜 の中からランダムに1つを6付与	誤記: "[OnSucceedAttack] 火傷 、出血 、振動 、破裂 、沈潜 「」中からランダムに1つを6付与" 訂正後: "火傷 、出血 、振動 、破裂 、沈潜 「の」中からランダムに1つを6付与"	오기: "[OnSucceedAttack] 火傷 、出血 、振動 、破裂 、沈潜 「」中からランダムに1つを6付与" 정확: "火傷 、出血 、振動 、破裂 、沈潜 「の」中からランダムに1つを6付与"
JP_Skills_Ego_Personality-01.json:-	2010711-levelList[2].desc	2025-06-12	오기	체력이 가장 낮은 대상 우선 공격 (아군 우선 지정)\n[BeforeAttack] (최대 공명 수 + 1)만큼 [BoseProjektil]을 얻음 (최대 7)\n&lt;style="highlight"&gt;- 해당 공명이 오만 공명이면, 효과를 대신하여 (최대 공명 수 x 2)만큼 [BoseProjektil]을 얻음 (최대 7)&lt;/style&gt;\n[BeforeAttack] [BoseProjektil]당 [Breath] 1 얻음 (최대 7)\n[EndSkill] [BoseProjektil] 전부 소모	体力が最も低い味方を優先して攻撃(味方優先指定)\n[BeforeAttack] (最大共鳴数 +1)だけ[BoseProjektil]を得る(最大7)\n<style="highlight">- 該当共鳴が傲慢共鳴なら、この効果の代わりに(最大共鳴数 × 2)だけ[BoseProjektil]得る(最大7)</style>\n[BeforeAttack] [BoseProjektil]1につき[Breath]を1得る(最大7)\n[EndSkill] [BoseProjektil]を全て消耗	体力が最も低い味方を優先して攻撃(味方優先指定)\n[BeforeAttack] (最大共鳴数 +1)だけ[BoseProjektil]を得る(最大7)\n<style="highlight">- 該当共鳴が傲慢共鳴なら、この効果の代わりに(最大共鳴数 × 2)だけ[BoseProjektil]を得る(最大7)</style>\n[BeforeAttack] [BoseProjektil]1につき[Breath]を1得る(最大7)\n[EndSkill] [BoseProjektil]を全て消耗	誤記: "<style="highlight">- 該当共鳴が傲慢共鳴なら、この効果の代わりに(最大共鳴数 × 2)だけ[BoseProjektil]「」得る(最大7)</style>" 訂正後: "この効果の代わりに(最大共鳴数 × 2)だけ[BoseProjektil]「を」得る(最大7)"	오기: "<style="highlight">- 該当共鳴が傲慢共鳴なら、この効果の代わりに(最大共鳴数 × 2)だけ[BoseProjektil]「」得る(最大7)</style>" 정확: "この効果の代わりに(最大共鳴数 × 2)だけ[BoseProjektil]「を」得る(最大7)"
JP_Skills_Ego_Personality-01.json:-	2010721-levelList[1].desc	2025-06-12	오기	[CantIdentify]\n체력이 가장 낮은 대상 우선 공격 (아군 우선 지정)\n[BeforeAttack] (최대 공명 수 + 1)만큼 [BoseProjektil]을 얻음 (최대 7)\n[BeforeAttack] [BoseProjektil]당 피해량 &lt;style="highlight"&gt;+3% (최대 21%)&lt;/style&gt;\n[BeforeAttack] [BoseProjektil]당 [Breath] 1 얻음 (최대 7)\n[EndSkill] [BoseProjektil] 전부 소모	[CantIdentify]\n体力が最も低い味方を優先して攻撃(味方を優先指定)\n[BeforeAttack] (最大共鳴数 +1)だけ[BoseProjektil]を得る(最大7)\n[BeforeAttack] [BoseProjektil]1ダメージ量 <style="highlight">+3%(最大21%)</style>\n[BeforeAttack] [BoseProjektil]1につき[Breath]を1得る(最大7)\n[EndSkill] [BoseProjektil]を全て消耗	[CantIdentify]\n体力が最も低い味方を優先して攻撃(味方を優先指定)\n[BeforeAttack] (最大共鳴数 +1)だけ[BoseProjektil]を得る(最大7)\n[BeforeAttack] [BoseProjektil]1につきダメージ量 <style="highlight">+3%(最大21%)</style>\n[BeforeAttack] [BoseProjektil]1につき[Breath]を1得る(最大7)\n[EndSkill] [BoseProjektil]を全て消耗	誤記: "[BeforeAttack] [BoseProjektil]1「」ダメージ量 <style="highlight">+3%(最大21%)</style>" 訂正後: "[BeforeAttack] [BoseProjektil]1「につき」ダメージ量 <style="highlight">+3%(最大21%)</style>"	오기: "[BeforeAttack] [BoseProjektil]1「」ダメージ量 <style="highlight">+3%(最大21%)</style>" 정확: "[BeforeAttack] [BoseProjektil]1「につき」ダメージ量 <style="highlight">+3%(最大21%)</style>"
